
Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2021-07-12,AC8874,"Windsor / Windsor (YQG/CYQG)","Toronto / Pearson (YYZ/CYYZ)",17:00:00,18:03:00,01:03:00,"Air Canada (AC/ACA)","Bombardier Dash 8-300 (DH8C)",C-GHTA,,3,1,1,,3413,3500,13,609
2021-07-12,AC127,"Toronto / Pearson (YYZ/CYYZ)","Vancouver / Vancouver (YVR/CYVR)",19:00:00,20:46:00,04:46:00,"Air Canada (AC/ACA)","Boeing 787-9 (B789)",C-FRSR,,0,0,0,,3500,3466,13,2088
2021-07-14,8P1205,"Vancouver / Vancouver (YVR/CYVR)","Kamloops / Kamloops (YKA/CYKA)",14:35:00,15:25:00,00:50:00,"Pacific Coastal Airlines (8P/PCO)","Beechcraft 1900 (B190)",C-GPCL,,0,0,0,,3466,3368,1011,189
2021-07-15,8P1206,"Kamloops / Kamloops (YKA/CYKA)","Vancouver / Vancouver (YVR/CYVR)",15:50:00,16:40:00,00:50:00,"Pacific Coastal Airlines (8P/PCO)","Beechcraft 1900 (B190)",C-GPCE,,0,0,0,,3368,3466,1011,189
2021-07-17,AC114,"Vancouver / Vancouver (YVR/CYVR)","Toronto / Pearson (YYZ/CYYZ)",11:30:00,18:50:00,04:20:00,"Air Canada (AC/ACA)","Boeing 777-300ER (B77W)",C-FIUV,,0,0,0,,3466,3500,13,2023
2021-07-17,AC8877,"Toronto / Pearson (YYZ/CYYZ)","Windsor / Windsor (YQG/CYQG)",21:05:00,22:07:00,01:02:00,"Air Canada (AC/ACA)","Bombardier Dash 8-300 (DH8C)",C-GHTA,,0,0,0,,3500,3413,13,609
2021-05-31,DL2249,"San Diego / San Diego International (SAN/KSAN)","Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW)",22:15:00,05:36:00,04:21:00,"Delta Air Lines (DL/DAL)","Boeing 757 (B757)",,,0,0,0,,2589,756,223,2010
2021-05-27,AS3415,"San Francisco / San Francisco International (SFO/KSFO)","San Diego / San Diego International (SAN/KSAN)",00:00:00,00:00:00,01:13:00,"Alaska Airlines (AS/ASA)","Embraer 175 (E75S)",,,0,0,0,,2644,2589,79,2145
2021-05-13,DL2566,"Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW)","San Francisco / San Francisco International (SFO/KSFO)",00:00:00,00:00:00,04:45:00,"Delta Air Lines (DL/DAL)"," ()",,,0,0,0,,756,2644,223,0
2021-03-02,DL2548,"Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW)","San Diego / San Diego International (SAN/KSAN)",00:00:00,00:00:00,04:29:00,"Delta Air Lines (DL/DAL)"," ()",,,0,0,0,,756,2589,223,0
2021-03-06,DL5689,"Philadelphia / Philadelphia (PHL/KPHL)","Detroit / Detroit Metropolitan Wayne Co (DTW/KDTW)",00:00:00,00:00:00,01:14:00,"Delta Air Lines (DL/DAL)"," ()",,,0,0,0,,2311,756,223,0
